Directorate,Summary Budget Heading,Budget Heading,Budget,"Budget 2015/16 £,000"
Adult Social Care,Managed Expenditure,Employees,Direct Pay Costs,"56,112"
Adult Social Care,Managed Expenditure,Employees,Agency And Temporary Staff,"1,970"
Adult Social Care,Managed Expenditure,Employees,National Insurance Contributions,"3,895"
Adult Social Care,Managed Expenditure,Employees,Superannuation Costs,"7,485"
Adult Social Care,Managed Expenditure,Employees,Other Pension Costs,"2,069"
Adult Social Care,Managed Expenditure,Employees,Other Employee Related Costs,86
Adult Social Care,Managed Expenditure,Employees,Training And Development,508
Adult Social Care,Managed Expenditure,Premises,Buildings Maintenance,140
Adult Social Care,Managed Expenditure,Premises,Grounds Maintenance,49
Adult Social Care,Managed Expenditure,Premises,Building Security,50
Adult Social Care,Managed Expenditure,Premises,Cleaning And Workplace Refuse,183
Adult Social Care,Managed Expenditure,Premises,Gas,452
Adult Social Care,Managed Expenditure,Premises,Electricity,427
Adult Social Care,Managed Expenditure,Premises,Other Utilities,314
Adult Social Care,Managed Expenditure,Premises,Rents,98
Adult Social Care,Managed Expenditure,Premises,NNDR,314
Adult Social Care,Managed Expenditure,Premises,Accommodation Charges,182
Adult Social Care,Managed Expenditure,Premises,Premises Related Insurance,17
Adult Social Care,Managed Expenditure,Supplies and Services,Materials and Equipment,"1,204"
Adult Social Care,Managed Expenditure,Supplies and Services,Stationery and Postage,172
Adult Social Care,Managed Expenditure,Supplies and Services,Advertising,9
Adult Social Care,Managed Expenditure,Supplies and Services,IT and telecommunications,362
Adult Social Care,Managed Expenditure,Supplies and Services,Insurance,111
Adult Social Care,Managed Expenditure,Supplies and Services,Professional Services and Subscriptions,128
Adult Social Care,Managed Expenditure,Supplies and Services,Grants and Contributions,793
Adult Social Care,Managed Expenditure,Supplies and Services,Catering Service,51
Adult Social Care,Managed Expenditure,Supplies and Services,Allowances,28
Adult Social Care,Managed Expenditure,Supplies and Services,Consultancy Services,309
Adult Social Care,Managed Expenditure,Supplies and Services,Other Hired and Contracted Services,"1,281"
Adult Social Care,Managed Expenditure,Supplies and Services,Licences,82
Adult Social Care,Managed Expenditure,Supplies and Services,Publication and Promotion,4
Adult Social Care,Managed Expenditure,Supplies and Services,PFI Unitary Charges,"5,199"
Adult Social Care,Managed Expenditure,Supplies and Services,Miscellaneous,321
Adult Social Care,Managed Expenditure,Transport,Vehicles And Plant Related Expenditure,147
Adult Social Care,Managed Expenditure,Transport,Travel Allowances,"1,190"
Adult Social Care,Managed Expenditure,Transport,Fuel,35
Adult Social Care,Managed Expenditure,Transport,Private Hire,15
Adult Social Care,Managed Expenditure,Transport,Transport Related Insurance,4
Adult Social Care,Managed Expenditure,Internal Charges,Managed Recharges Frm Other Directorates,"8,554"
Adult Social Care,Managed Expenditure,Agency Payments,Services provided by Voluntary Sector,"13,132"
Adult Social Care,Managed Expenditure,Agency Payments,Services provided by Health Authorities,470
Adult Social Care,Managed Expenditure,Agency Payments,Contributions to Partnerships,"68,400"
Adult Social Care,Managed Expenditure,Agency Payments,Fees to Carers,490
Adult Social Care,Managed Expenditure,Agency Payments,Day Care,165
Adult Social Care,Managed Expenditure,Agency Payments,Home Care,"22,245"
Adult Social Care,Managed Expenditure,Agency Payments,Sheltered Accommodation,"1,886"
Adult Social Care,Managed Expenditure,Agency Payments,Nursing Placements,"38,486"
Adult Social Care,Managed Expenditure,Agency Payments,Residential Placements,"23,788"
Adult Social Care,Managed Expenditure,Transfer Payments,Social Care Direct Payments,"1,065"
Adult Social Care,Managed Expenditure,Transfer Payments,Social Care Personalised Budgets,"10,068"
Adult Social Care,Managed Expenditure,Appropriations,Transfers to/from Earmarked Reserves,"-5,900"
Adult Social Care,Managed Income,Internal Income,Income from other Directorates,"-3,532"
Adult Social Care,Managed Income,Internal Income,Recharge Income from Capital,"-1,075"
Adult Social Care,Managed Income,Internal Income,Charges to / from HRA,-427
Adult Social Care,Managed Income,Income - Grants,Government Grants,"-4,589"
Adult Social Care,Managed Income,Income - Grants,DCLG Grants,"-4,671"
Adult Social Care,Managed Income,Income - Sales,Sale of Goods and Services,"-1,028"
Adult Social Care,Managed Income,Income - Charges,Fees and charges,-184
Adult Social Care,Managed Income,Income - Charges,Contributions,"-59,448"
Adult Social Care,Managed Income,Income - Charges,Other income,-803
Adult Social Care,Managed Income,Income - Charges,Rents,-136
Adult Social Care,Managed Outside the Service,Accounting Adjustments,IAS 19 Pensions Costs,"1,456"
Adult Social Care,Managed Outside the Service,Accounting Adjustments,Transfers to/from Statutory Reserves,"-1,456"
Adult Social Care,Managed Outside the Service,Accounting Adjustments,Capital Charges,"4,876"
Adult Social Care,Managed Outside the Service,Central Recharges,Corporate & Democratic Core Income,-263
Adult Social Care,Managed Outside the Service,Other Internal Adjustments,Internal Reallocations Charges,"36,022"
Adult Social Care,Managed Outside the Service,Other Internal Adjustments,Internal Reallocations Income,"-36,022"
Children's Services,Managed Expenditure,Employees,Direct Pay Costs,"72,385"
Children's Services,Managed Expenditure,Employees,Agency And Temporary Staff,"3,015"
Children's Services,Managed Expenditure,Employees,National Insurance Contributions,"5,046"
Children's Services,Managed Expenditure,Employees,Superannuation Costs,"10,507"
Children's Services,Managed Expenditure,Employees,Other Pension Costs,"8,266"
Children's Services,Managed Expenditure,Employees,Other Employee Related Costs,181
Children's Services,Managed Expenditure,Employees,Training And Development,354
Children's Services,Managed Expenditure,Premises,Buildings Maintenance,154
Children's Services,Managed Expenditure,Premises,Grounds Maintenance,31
Children's Services,Managed Expenditure,Premises,Building Security,56
Children's Services,Managed Expenditure,Premises,Cleaning And Workplace Refuse,125
Children's Services,Managed Expenditure,Premises,Gas,350
Children's Services,Managed Expenditure,Premises,Electricity,338
Children's Services,Managed Expenditure,Premises,Other Utilities,229
Children's Services,Managed Expenditure,Premises,Rents,280
Children's Services,Managed Expenditure,Premises,NNDR,753
Children's Services,Managed Expenditure,Premises,Accommodation Charges,62
Children's Services,Managed Expenditure,Premises,Premises Related Insurance,15
Children's Services,Managed Expenditure,Supplies and Services,Materials and Equipment,"1,290"
Children's Services,Managed Expenditure,Supplies and Services,Stationery and Postage,196
Children's Services,Managed Expenditure,Supplies and Services,Advertising,107
Children's Services,Managed Expenditure,Supplies and Services,IT and telecommunications,"1,115"
Children's Services,Managed Expenditure,Supplies and Services,Insurance,172
Children's Services,Managed Expenditure,Supplies and Services,Professional Services and Subscriptions,"1,360"
Children's Services,Managed Expenditure,Supplies and Services,Grants and Contributions,18
Children's Services,Managed Expenditure,Supplies and Services,Catering Service,"1,087"
Children's Services,Managed Expenditure,Supplies and Services,Allowances,211
Children's Services,Managed Expenditure,Supplies and Services,Consultancy Services,785
Children's Services,Managed Expenditure,Supplies and Services,Security Services,86
Children's Services,Managed Expenditure,Supplies and Services,Other Hired and Contracted Services,"1,336"
Children's Services,Managed Expenditure,Supplies and Services,Licences,605
Children's Services,Managed Expenditure,Supplies and Services,Publication and Promotion,30
Children's Services,Managed Expenditure,Supplies and Services,PFI Unitary Charges,"51,890"
Children's Services,Managed Expenditure,Supplies and Services,Miscellaneous,4
Children's Services,Managed Expenditure,Transport,Vehicles And Plant Related Expenditure,129
Children's Services,Managed Expenditure,Transport,Travel Allowances,"1,626"
Children's Services,Managed Expenditure,Transport,Fuel,50
Children's Services,Managed Expenditure,Transport,Private Hire,"6,387"
Children's Services,Managed Expenditure,Transport,Transport Related Insurance,27
Children's Services,Managed Expenditure,Internal Charges,Managed Recharges Frm Other Directorates,"27,612"
Children's Services,Managed Expenditure,Internal Charges,Distributed Grants,"9,791"
Children's Services,Managed Expenditure,Agency Payments,Services provided by other organisations,"26,631"
Children's Services,Managed Expenditure,Agency Payments,Services provided by Voluntary Sector,"9,463"
Children's Services,Managed Expenditure,Agency Payments,General External Residential Placements,"7,101"
Children's Services,Managed Expenditure,Agency Payments,Independent Fostering Agencies,"7,575"
Children's Services,Managed Expenditure,Agency Payments,Carers Fees and Allowances,"22,389"
Children's Services,Managed Expenditure,Agency Payments,Services provided by Health Authorities,640
Children's Services,Managed Expenditure,Agency Payments,Public Health Commissioned Services,42
Children's Services,Managed Expenditure,Agency Payments,Contributions to Partnerships,220
Children's Services,Managed Expenditure,Agency Payments,Special Educational Needs Placements,"3,597"
Children's Services,Managed Expenditure,Transfer Payments,Young People's Allowances,"2,068"
Children's Services,Managed Expenditure,Transfer Payments,Social Care Direct Payments,616
Children's Services,Managed Expenditure,Appropriations,Transfers to/from Earmarked Reserves,"-3,056"
Children's Services,Managed Income,Internal Income,Income from other Directorates,"-27,066"
Children's Services,Managed Income,Internal Income,Recharge Income from Capital,-530
Children's Services,Managed Income,Internal Income,Redistribution of grants income,"-5,248"
Children's Services,Managed Income,Income - Grants,Government Grants,"-73,395"
Children's Services,Managed Income,Income - Grants,DCLG Grants,"-33,415"
Children's Services,Managed Income,Income - Sales,Sale of Goods and Services,-433
Children's Services,Managed Income,Income - Charges,Fees and charges,"-19,996"
Children's Services,Managed Income,Income - Charges,Contributions,"-3,899"
Children's Services,Managed Income,Income - Charges,Other income,-362
Children's Services,Managed Income,Income - Charges,Rents,-268
Children's Services,Managed Income,Income - Other,Interest and Dividends,-2
Children's Services,Managed Outside the Service,Accounting Adjustments,IAS 19 Pensions Costs,-814
Children's Services,Managed Outside the Service,Accounting Adjustments,Transfers to/from Statutory Reserves,814
Children's Services,Managed Outside the Service,Accounting Adjustments,Capital Charges,"27,013"
Children's Services,Managed Outside the Service,Central Recharges,Corporate & Democratic Core Income,-500
Citizens and Communities,Managed Expenditure,Employees,Direct Pay Costs,"19,336"
Citizens and Communities,Managed Expenditure,Employees,National Insurance Contributions,"1,369"
Citizens and Communities,Managed Expenditure,Employees,Superannuation Costs,"2,494"
Citizens and Communities,Managed Expenditure,Employees,Other Pension Costs,337
Citizens and Communities,Managed Expenditure,Employees,Other Employee Related Costs,38
Citizens and Communities,Managed Expenditure,Employees,Training And Development,54
Citizens and Communities,Managed Expenditure,Premises,Buildings Maintenance,17
Citizens and Communities,Managed Expenditure,Premises,Grounds Maintenance,1
